"";"Country.Region";"population"
"203";"Andorra";"77543"
"204";"Dominica";"71808"
"205";"Cayman Islands(UK)";"65813"
"206";"Bermuda(UK)";"64027"
"207";"Guernsey(UK)";"62792"
"208";"American Samoa(US)";"567"
"209";"Greenland(Denmark)";"56081"
"210";"Northern Mariana Islands(US)";"562"
"211";"Marshall Islands";"555"
"212";"South Ossetia";"53532"
"213";"Saint Kitts and Nevis";"52823"
"214";"Faeroe Is.";"52124"
"215";"Turks and Caicos Islands(UK)";"41369"
"216";"Sint Maarten(Netherlands)";"40614"
"217";"Liechtenstein";"38557"
"218";"Monaco";"383"
"219";"Saint Martin(France)";"35746"
"220";"Gibraltar(UK)";"33701"
"221";"San Marino";"33574"
"222";"British Virgin Islands(UK)";"3003"
"223";"Åland Islands(Finland)";"29789"
"224";"Palau";"179"
"225";"Cook Islands(NZ)";"152"
"226";"Anguilla(UK)";"14869"
"227";"Wallis and Futuna(France)";"117"
"228";"Nauru";"11"
"229";"Tuvalu";"102"
"230";"St-Barthélemy";"9793"
"231";"Saint Pierre and Miquelon(France)";"6008"
"232";"Saint Helena, Ascension";"5633"
"233";"and Tristan da Cunha(UK)";""
"234";"Montserrat(UK)";"4989"
"235";"Falkland Islands(UK)";"3198"
"236";"Christmas Island(Australia)";"1928"
"237";"Norfolk Island(Australia)";"1756"
"238";"Niue(NZ)";"152"
"239";"Tokelau(NZ)";"14"
"240";"Vatican";"799"
"241";"Cocos (Keeling) Islands(Australia)";"538"
"242";"Pitcairn Islands(UK)";"50"
