"Country.Region";"population";"PopulationUN";"continent";"subcontinent";"Pop_0-4";"Pop_5-9";"Pop_10-14";"Pop_15-19";"Pop_20-24";"Pop_25-29";"Pop_30-34";"Pop_35-39";"Pop_40-44";"Pop_45-49";"Pop_50-54";"Pop_55-59";"Pop_60-64";"Pop_65-69";"Pop_70-74";"Pop_75-79";"Pop_80-84";"Pop_85-89";"Pop_90-94";"Pop_95-99";"100+";"Density_per_km2";"Deaths"
"Algeria";43000000;43333000;"Africa";"Northern Africa";5042;4636;3821;2910;3000;3574;3728;3548;3014;2435;2062;1738;1387;1143;724;514;344;171;51;9;1;18.4;986000
"Sudan";42327265;43541000;"Africa";"Northern Africa";6339;5790;5323;4801;4159;3468;2799;2404;2027;1700;1425;1128;875;661;455;278;143;56;15;3;0;24.8;1499000
"Ukraine";41902416;43579000;"Europe";"Northern Europe";2114;2476;2404;1980;2146;2752;3585;3624;3337;3069;2803;3104;2928;2612;1769;1214;1187;412;188;27;2;75.5;3367000
"Uganda";40299300;47188000;"Africa";"Eastern Africa";7796;7060;6192;5257;4328;3544;2849;2253;1765;1368;1066;787;568;407;261;151;64;22;3;0;0;228.9;1396000
"Iraq";39127900;41503000;"Asia";"Western Asia";5380;5230;4559;4152;3800;3366;2927;2476;2150;1787;1415;926;670;623;332;242;127;48;12;2;0;92.6;909000
"Poland";38386000;37942000;"Europe";"Eastern Europe";1885;1900;1975;1735;1966;2466;2826;3179;2959;2577;2238;2325;2725;2449;1856;1045;884;558;239;57;5;123.6;1914000
"Canada";37949851;37603000;"Northern America";"Oceania";1993;1978;1983;1988;2363;2733;2626;2652;2463;2383;2423;2759;2563;2150;1793;1226;815;519;253;70;9;4.2;NA
"Morocco";35832595;37071000;"Africa";"Northern Africa";3325;3428;3128;2970;2874;3009;2863;2744;2360;2092;1925;1819;1567;1168;682;515;310;111;20;1;0;82.7;905000
"Saudi Arabia";34218169;34710000;"Asia";"Western Asia";2978;2978;2641;2219;2333;3022;3438;3542;3578;2831;1892;1325;819;555;293;201;106;45;15;3;0;16.2;577000
"Uzbekistan";34057261;33236000;"Asia";"Southern Asia";3432;3282;2925;2535;2782;3165;3030;2547;2105;1825;1569;1500;1168;771;344;228;164;68;24;4;0;78.7;929000
"Malaysia";32712760;32869000;"Asia";"South-Eastern Asia";2635;2508;2446;2670;2863;2907;2930;2722;2096;1895;1674;1472;1224;928;658;367;230;103;31;7;1;98.5;791000
"Afghanistan";32225560;38055000;"Asia";"Southern Asia";5673;5416;5192;4629;3926;3109;2478;2056;1659;1305;1032;808;613;445;312;168;76;24;5;1;0;59.6;1195000
"Venezuela";32219521;33172000;"South America";"Oceania";2363;2731;2658;2501;2102;2029;2064;1964;1868;1697;1600;1415;1177;865;604;386;227;119;49;15;3;32.2;1017000
"Peru";32131400;33312000;"South America";"Oceania";2833;2612;2696;2439;2608;2768;2693;2538;2301;2046;1792;1522;1247;1029;732;523;345;175;59;12;1;25.8;865000
"Angola";31127674;32827000;"Africa";"Middle Africa";5795;5104;4349;3533;2883;2423;2041;1659;1331;1082;787;677;482;304;213;119;60;20;4;0;0;26.4;1265000
"Ghana";30280811;30734000;"Africa";"Western Africa";4169;3888;3480;3137;2860;2538;2266;1924;1626;1405;1189;946;667;424;298;158;70;21;4;0;0;136.6;1083000
"Nepal";29609623;30260000;"Asia";"Southern Asia";2707;2756;2931;3189;3222;2665;2069;1723;1597;1449;1263;1044;823;665;474;338;153;54;13;2;0;203.3;897000
"Yemen";29161922;30245000;"Asia";"Western Asia";4115;3918;3549;3202;2925;2808;2329;1811;1362;1001;773;650;509;370;259;144;69;24;6;1;0;56.5;846000
"Mozambique";28571310;32309000;"Africa";"Eastern Africa";5157;4561;4054;3541;2913;2382;1962;1627;1288;1002;783;618;475;369;262;159;77;24;4;0;0;39.7;1257000
"Cameroon";25876000;25958000;"Africa";"Middle Africa";4116;3730;3320;2856;2420;2132;1861;1539;1203;939;729;559;420;313;210;123;57;16;2;0;0;56.2;1166000
"Ivory Coast";25823071;26172000;"Africa";"Western Africa";4131;3619;3199;2906;2538;2123;1741;1431;1185;932;739;599;475;347;215;127;55;14;2;0;0;83;1259000
"Madagascar";25680342;27691000;"Africa";"Eastern Africa";4109;3654;3331;3012;2676;2223;1830;1541;1314;1074;858;681;529;386;225;135;73;30;8;1;0;47.6;796000
"Australia";25639623;25398000;"Oceania";"Oceania";1670;1639;1611;1520;1595;1781;1875;1843;1629;1677;1558;1549;1419;1233;1083;763;523;329;157;42;4;3.3;815000
"North Korea";25450000;25841000;"Asia";"Eastern Asia";1746;1684;1685;1876;1941;1985;1851;1791;1556;2158;2140;1482;1473;662;745;559;309;106;25;4;0;214.1;1154000
"Taiwan";23604265;23818000;"Asia";"Eastern Asia";1011;1042;976;1213;1502;1618;1622;1927;2032;1755;1807;1853;1684;1417;903;586;438;272;122;33;4;672.6;889000
"Niger";22314743;24075000;"Africa";"Western Africa";4787;3971;3266;2635;2087;1630;1266;993;838;691;561;486;367;278;190;106;42;11;2;0;0;19.1;929000
"Sri Lanka";21803000;21084000;"Asia";"South-Eastern Asia";1660;1690;1722;1665;1496;1406;1352;1468;1524;1357;1317;1238;1114;899;727;419;208;106;38;7;1;341.5;7e+05
"Burkina Faso";20870060;20903000;"Africa";"Western Africa";3472;3080;2723;2307;1920;1588;1320;1108;893;694;554;424;317;222;148;86;36;10;2;0;0;76.4;807000
"Mali";19973000;20284000;"Africa";"Western Africa";3606;3155;2759;2250;1776;1428;1167;993;827;659;489;360;280;221;141;90;37;11;2;0;0;16.6;925000
"Romania";19405156;19388000;"Europe";"Eastern Europe";940;965;1081;995;1010;1076;1396;1190;1523;1503;1526;1043;1290;1246;927;603;537;275;94;17;1;83.6;1275000
"Chile";19107216;18473000;"South America";"Oceania";1162;1266;1250;1244;1403;1593;1546;1400;1324;1254;1215;1138;982;809;581;412;274;162;77;20;4;25.7;567000
"Kazakhstan";18659072;18777000;"Asia";"Central Asia";1920;1948;1604;1117;1100;1473;1658;1336;1184;1103;978;1062;811;628;320;233;216;62;23;3;0;7;648000
"Malawi";17563749;20284000;"Africa";"Eastern Africa";2924;2739;2562;2176;1839;1539;1292;994;807;630;481;365;278;203;153;91;43;13;2;0;0;202.9;607000
"Netherlands";17442281;17181000;"Europe";"Western Europe";859;894;938;1016;1021;1077;1077;1020;1005;1147;1274;1250;1125;1005;952;639;438;262;107;27;3;508.2;742000
"Ecuador";17439824;17336000;"South America";"Oceania";1667;1611;1555;1561;1567;1470;1363;1230;1099;989;864;727;602;486;328;242;152;82;35;11;3;71;432000
"Zambia";17381168;18679000;"Africa";"Eastern Africa";2946;2717;2429;2122;1747;1433;1193;992;808;606;434;328;238;166;113;67;33;11;2;0;0;24.7;563000
"Syria";17070135;18924000;"Asia";"Western Asia";1919;1717;1750;1575;1604;1496;1521;1386;1095;834;689;596;465;357;209;146;85;42;12;2;0;95.3;490000
"Guatemala";16604026;17911000;"Latin America and the Caribbean";"Central America";2065;1982;1926;1946;1802;1611;1354;1178;956;746;584;470;392;327;221;161;109;59;22;4;0;167.2;406000
"Senegal";16209125;17200000;"Africa";"Western Africa";2615;2417;2099;1765;1519;1304;1111;941;742;590;467;367;286;220;146;94;45;14;2;0;0;87;455000
"Chad";15692969;16285000;"Africa";"Middle Africa";2930;2522;2184;1855;1536;1246;990;780;610;473;362;292;236;181;112;68;34;12;3;0;0;13;935000
"Somalia";15442905;16105000;"Africa";"Eastern Africa";2827;2389;2119;1818;1534;1160;869;666;561;493;407;327;263;200;135;76;36;12;3;0;0;25.3;812000
"Cambodia";15288489;16716000;"Asia";"South-Eastern Asia";1779;1752;1640;1460;1528;1589;1241;1648;627;802;733;655;454;363;221;131;63;26;6;1;0;94.7;484000
"Zimbabwe";15159624;17680000;"Africa";"Middle Africa";2097;2211;1921;1639;1378;1105;995;873;738;520;389;309;240;185;115;86;44;15;3;0;0;38.4;579000
"South Sudan";12778250;13610000;"Africa";"Eastern Africa";1707;1538;1380;1201;1062;901;744;590;492;405;332;263;201;144;112;70;34;12;3;0;0;18.3;578000
"Rwanda";12374397;13087000;"Africa";"Eastern Africa";1885;1676;1552;1354;1184;1027;979;834;609;461;354;374;259;186;109;65;26;16;2;0;0;525;323000
"Guinea";12218357;13751000;"Africa";"Western Africa";2100;1866;1688;1512;1305;1061;828;642;500;398;333;282;230;178;106;65;29;8;1;0;0;53.4;524000
"Benin";11733059;12123000;"Africa";"Western Africa";1908;1689;1488;1291;1116;946;785;651;539;443;363;287;219;161;111;74;35;13;3;0;0;107.5;508000
"Tunisia";11722038;11903000;"Africa";"Northern Africa";1004;1014;853;787;821;904;928;986;847;726;711;650;539;424;250;174;120;62;16;3;0;76.1;360000
"Haiti";11577779;11371000;"Latin America and the Caribbean";"Caribbean";1263;1238;1202;1144;1065;979;906;826;627;479;424;366;293;231;151;109;62;27;8;2;0;413.7;473000
"Belgium";11524454;11620000;"Europe";"Western Europe";634;669;671;641;658;728;746;758;752;767;795;803;736;634;556;384;321;217;95;24;2;382.7;560000
"Bolivia";11469896;11544000;"South America";"Oceania";1185;1179;1161;1137;1065;974;871;768;668;570;481;403;336;279;225;167;107;60;27;8;2;10.8;382000
"Cuba";11209628;11495000;"Latin America and the Caribbean";"Caribbean";571;628;604;643;701;720;831;692;618;944;998;969;607;567;449;355;230;122;56;18;3;106.4;505000
"Burundi";10953317;11939000;"Africa";"Eastern Africa";2054;1819;1508;1217;1043;987;875;664;447;301;260;232;201;138;70;42;22;8;2;0;0;463;443000
"Greece";10724599;11103000;"Europe";"Southern Europe";409;472;542;527;529;528;598;739;780;794;796;709;677;581;549;407;394;261;105;23;3;80.9;570000
"Czechia";10681161;10633000;"Europe";"Eastern Europe";559;555;574;488;471;634;717;761;930;868;694;657;644;681;613;418;235;144;54;11;0;138.6;559000
"Jordan";10631296;10209000;"Asia";"Western Asia";1058;1154;1140;1040;940;862;777;713;607;535;433;322;217;149;112;79;43;16;4;0;0;114.9;188000
